                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                    nan,                    nan,                    nan,                0.72197,                0.37916,                0.39349,                0.20457,                    nan,                    nan,                    nan,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                    nan,                    nan,                    nan,                0.72197,                0.37916,                0.39349,                0.20457,                    nan,                    nan,                    nan,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                    nan,                    nan,                    nan,                 0.7428,                0.38333,                0.39397,                 0.2528,                    nan,                    nan,                    nan,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                    nan,                    nan,                    nan,                 0.7428,                0.38333,                0.39397,                 0.2528,                    nan,                    nan,                    nan,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                    nan,                    nan,                    nan,                 0.7428,                0.38333,                0.39397,                 0.2528,                    nan,                    nan,                    nan,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                    nan,                    nan,                    nan,                 0.7428,                0.38333,                0.39397,                 0.2528,                    nan,                    nan,                    nan,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                    nan,                    nan,                    nan,                 0.7428,                0.38333,                0.39397,                 0.2528,                    nan,                    nan,                    nan,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                    nan,                    nan,                    nan,                 0.7428,                0.38333,                0.39397,                 0.2528,                    nan,                    nan,                    nan,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                    nan,                    nan,                    nan,                 0.5922,                0.38333,                0.39536,                 0.2554,                    nan,                    nan,                    nan,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                    nan,                    nan,                    nan,                 0.5922,                0.38333,                0.39536,                 0.2554,                    nan,                    nan,                    nan,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                    nan,                    nan,                    nan,                 0.5922,                0.38333,                0.39536,                 0.2554,                    nan,                    nan,                    nan,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                    nan,                    nan,                    nan,                 0.5922,                0.38333,                0.39536,                 0.2554,                    nan,                    nan,                    nan,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                    nan,                    nan,                    nan,                 0.5922,                0.38333,                0.39536,                 0.2554,                    nan,                    nan,                    nan,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                    nan,                    nan,                    nan,                 0.5922,                0.38333,                0.39536,                 0.2554,                    nan,                    nan,                    nan,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                    nan,                    nan,                    nan,                 0.5922,                0.38333,                0.39536,                 0.2554,                    nan,                    nan,                    nan,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                    nan,                    nan,                    nan,                0.54957,                0.38333,                0.39624,                0.26635,                    nan,                    nan,                    nan,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                    nan,                    nan,                    nan,                0.54957,                0.38333,                0.39624,                0.26635,                    nan,                    nan,                    nan,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                    nan,                    nan,                    nan,                0.54957,                0.38333,                0.39624,                0.26635,                    nan,                    nan,                    nan,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                    nan,                    nan,                    nan,                0.54957,                0.38333,                0.39624,                0.26635,                    nan,                    nan,                    nan,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                    nan,                    nan,                    nan,                0.54957,                0.38333,                0.39624,                0.26635,                    nan,                    nan,                    nan,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                    nan,                    nan,                    nan,                0.54957,                0.38333,                0.39624,                0.26635,                    nan,                    nan,                    nan,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                    nan,                    nan,                    nan,                0.54957,                0.38333,                0.39624,                0.26635,                    nan,                    nan,                    nan,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                    nan,                    nan,                    nan,                0.75085,                0.38333,                0.39428,                 0.2573,                    nan,                    nan,                    nan,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                    nan,                    nan,                    nan,                0.75085,                0.38333,                0.39428,                 0.2573,                    nan,                    nan,                    nan,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                    nan,                    nan,                    nan,                0.75085,                0.38333,                0.39428,                 0.2573,                    nan,                    nan,                    nan,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                    nan,                    nan,                    nan,                0.75085,                0.38333,                0.39428,                 0.2573,                    nan,                    nan,                    nan,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                    nan,                    nan,                    nan,                0.75085,                0.38333,                0.39428,                 0.2573,                    nan,                    nan,                    nan,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                    nan,                    nan,                    nan,                0.75085,                0.38333,                0.39428,                 0.2573,                    nan,                    nan,                    nan,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                    nan,                    nan,                    nan,                0.75085,                0.38333,                0.39428,                 0.2573,                    nan,                    nan,                    nan,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                    nan,                    nan,                    nan,                0.75085,                0.38333,                0.39428,                 0.2573,                    nan,                    nan,                    nan,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                    nan,                    nan,                    nan,                0.66573,                0.36667,                0.37127,                0.21553,                    nan,                    nan,                    nan,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                    nan,                    nan,                    nan,                0.66573,                0.36667,                0.37127,                0.21553,                    nan,                    nan,                    nan,             2.3444e-06,             2.3444e-06,             2.3444e-06
